city,lat,lng
پسنی,25.27,63.45
کرک,33.12,71.09
ظاہر پیر,28.82,70.51
دنیا پور,29.8,71.73
سیٹھارجا,27.2,68.48
علی پور,29.38,70.9
ڈگری,25.15,69.1
سکرنڈ,26.13,68.26
ٹنڈو جام,25.43,68.53
سکھیکے,31.87,73.5
کھیوڑہ,32.64,73.01
لیاقت آباد,32.29,71.37
پپلان,32.29,71.37
خاران,28.57,65.42
مامو کانجن,30.84,72.8
شرقپور,31.46,74.1
مہر,27.18,67.81
رائیونڈ,31.25,74.21
خیرپور ناتھن شاہ,27.1,67.73
دیر,35.2,71.88
خیرپور ٹامیوالی,29.58,72.23
غوث پور,28.14,69.07
تنگی,34.3,71.65
اتمانزئی,34.18,71.76
کھنڈیاں,32.27,75.13
مستونگ,29.8,66.85
گڈو,28.43,69.68
کھپرو,25.82,69.37
فتح جنگ,33.57,72.65
منچن آباد,30.17,73.57
گڑھ مہاراجہ,30.83,71.91
جہانیاں,31.8,72.27
نصیرآباد,27.38,67.91
نوشکی,29.56,66.01
سجاول,24.61,68.08
سیتا روڈ,27.03,67.85
مانانوالہ جودھ سنگھ,31.59,73.69
فاضل پور,32.19,75.07
تلمبا,30.54,72.23
زیدہ,34.07,72.47
کنجاہ,32.54,73.98
جھاوریاں,32.37,72.62
کنڈیارو,27.06,68.2
کنری,25.18,69.57
قلات,29.03,66.58
ڈجکوٹ,31.22,72.98
سلانوالی,31.82,72.54
امان گڑھ,34.0,71.92
جھڈو,24.95,69.31
کوٹ ڈیجی,27.34,68.69
داؤد خیل,32.88,71.56
حضرو,33.91,72.49
ڈنگہ بنگا,29.75,73.25
کرور لال عیسان,31.23,70.95
کلور کوٹ,32.16,71.26
پشین,30.59,66.98
مری,33.91,73.39
فقیروالی,29.47,73.03
نوان شہر,29.82,70.51
احمد پور سیال,30.68,71.76
پھالیہ,32.43,73.58
مٹھا تیوانہ,32.25,72.11
یزمان,29.14,71.75
اکوڑہ,34.0,72.13
چٹکن,30.33,71.25
راجہ جنگ,31.22,74.27
اوبورو,28.16,69.73
مٹھی,24.74,69.8
سماستا,29.34,71.54
واربرٹن,31.55,73.83
کامر,30.43,73.05
جمکے چیمہ,29.24,71.05
صفدرآباد,31.73,73.57
چونڈہ,32.34,74.71
کلاچی,32.35,74.7
رانی پور,31.93,70.46
ہنگورجہ,27.85,69.41
ظفروال,32.34,74.9
نوکوٹ,24.86,69.4
کوٹ سمابہ,28.55,70.47
کہوٹہ,33.59,73.38
شاہ پور چاکر,26.15,68.63
نوان کلی,34.33,72.25
پنڈ دادن خان,32.59,73.04
تلہار,24.89,68.81
کنگن پور,30.77,74.13
پدیدان,26.78,68.3
فاروقہ,31.88,72.42
کوٹ غلام محمد,32.33,74.55
کوٹلی لوہاراں,32.58,74.48
بیلہ,26.23,66.3
قاضی احمد,26.3,68.1
دھورونارو,25.5,69.57
سرائے نورنگ,32.82,70.77
شادیوال,32.51,74.03
مخدوم پور,30.46,72.04
قادر پور رن,30.29,71.67
گھارو,24.74,67.58
بھٹ شاہ,25.8,68.5
خانگڑھ,29.91,71.16
مٹیاری,25.6,68.44
وارہ,27.45,67.8
لاچی,33.38,71.33
فقیر آباد,33.88,72.62
احمد آباد,32.42,74.35
پھلروان,32.35,73.01
ڈیرہ بگٹی,29.03,69.15
دھنوٹے,29.57,71.77
بدوملہی,31.98,74.67
تھروشاہ,26.95,68.11
نوشہرو فیروز,26.84,68.12
داور,26.45,68.32
جنڈ,33.43,72.02
پہاڑ پور,32.11,70.97
فتح پور,31.17,71.22
شاہ پور صدر,32.26,72.47
مچ,29.87,67.33
بھان,26.56,67.71
دجال,29.55,70.38
عیسیٰ خیل,32.67,71.28
رادھن,27.18,67.95
گولارچی,24.65,68.53
گھرگشتی,33.93,72.55
بھوپال والا,32.43,74.37
اتھل,25.81,66.62
کھوہرہ,30.33,71.25
جیوانی,25.07,61.76
جوہی,26.7,67.6
چور,25.52,69.77
ٹنڈو غلام علی,25.12,68.88
سعید آباد,25.97,68.37
ٹنڈو جان محمد,25.07,69.22
جھول,25.96,68.88
سنجھورو,26.03,68.8
چوہڑ جمالی,24.4,67.98
کالے کے,31.97,73.6
احمد پور لمہ,28.32,70.05
منگلا,31.9,72.38
زہری,30.33,71.25
بھاونا,31.57,72.65
نور پور تھل,31.88,71.9
شہر سلطان,29.57,71.02
